id,model,voice,condition,target_id,prime_id,repetition,seed,text,output_relpath
chatterbox_noun_t05_r02,chatterbox,,noun,t05,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. This is honestly the most wonderful thing that has ever happened!",outputs/chatterbox/chatterbox_noun_t05_r02.wav
chatterbox_number_t05_r02,chatterbox,,number,t05,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. This is honestly the most wonderful thing that has ever happened!",outputs/chatterbox/chatterbox_number_t05_r02.wav
chatterbox_noun_t06_r01,chatterbox,,noun,t06,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You need to get out of this building right now immediately!",outputs/chatterbox/chatterbox_noun_t06_r01.wav
chatterbox_number_t06_r01,chatterbox,,number,t06,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You need to get out of this building right now immediately!",outputs/chatterbox/chatterbox_number_t06_r01.wav
chatterbox_noun_t06_r02,chatterbox,,noun,t06,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You need to get out of this building right now immediately!",outputs/chatterbox/chatterbox_noun_t06_r02.wav
chatterbox_number_t06_r02,chatterbox,,number,t06,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You need to get out of this building right now immediately!",outputs/chatterbox/chatterbox_number_t06_r02.wav
chatterbox_noun_t07_r01,chatterbox,,noun,t07,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I genuinely expected so much better from someone like you!",outputs/chatterbox/chatterbox_noun_t07_r01.wav
chatterbox_number_t07_r01,chatterbox,,number,t07,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I genuinely expected so much better from someone like you!",outputs/chatterbox/chatterbox_number_t07_r01.wav
chatterbox_noun_t07_r02,chatterbox,,noun,t07,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I genuinely expected so much better from someone like you!",outputs/chatterbox/chatterbox_noun_t07_r02.wav
chatterbox_number_t07_r02,chatterbox,,number,t07,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I genuinely expected so much better from someone like you!",outputs/chatterbox/chatterbox_number_t07_r02.wav
chatterbox_noun_t08_r01,chatterbox,,noun,t08,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Thank goodness you are finally safe and back here with me!",outputs/chatterbox/chatterbox_noun_t08_r01.wav
chatterbox_number_t08_r01,chatterbox,,number,t08,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Thank goodness you are finally safe and back here with me!",outputs/chatterbox/chatterbox_number_t08_r01.wav
chatterbox_noun_t08_r02,chatterbox,,noun,t08,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Thank goodness you are finally safe and back here with me!",outputs/chatterbox/chatterbox_noun_t08_r02.wav
chatterbox_number_t08_r02,chatterbox,,number,t08,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Thank goodness you are finally safe and back here with me!",outputs/chatterbox/chatterbox_number_t08_r02.wav
chatterbox_noun_t09_r01,chatterbox,,noun,t09,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. We have been over this exact same problem a hundred times already!",outputs/chatterbox/chatterbox_noun_t09_r01.wav
chatterbox_number_t09_r01,chatterbox,,number,t09,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. We have been over this exact same problem a hundred times already!",outputs/chatterbox/chatterbox_number_t09_r01.wav
chatterbox_noun_t09_r02,chatterbox,,noun,t09,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. We have been over this exact same problem a hundred times already!",outputs/chatterbox/chatterbox_noun_t09_r02.wav
chatterbox_number_t09_r02,chatterbox,,number,t09,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. We have been over this exact same problem a hundred times already!",outputs/chatterbox/chatterbox_number_t09_r02.wav
chatterbox_noun_t10_r01,chatterbox,,noun,t10,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I had absolutely no idea any of this was even happening!",outputs/chatterbox/chatterbox_noun_t10_r01.wav
chatterbox_number_t10_r01,chatterbox,,number,t10,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I had absolutely no idea any of this was even happening!",outputs/chatterbox/chatterbox_number_t10_r01.wav
chatterbox_noun_t10_r02,chatterbox,,noun,t10,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I had absolutely no idea any of this was even happening!",outputs/chatterbox/chatterbox_noun_t10_r02.wav
chatterbox_number_t10_r02,chatterbox,,number,t10,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I had absolutely no idea any of this was even happening!",outputs/chatterbox/chatterbox_number_t10_r02.wav
xtts_noun_t01_r01,xtts,,noun,t01,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You have absolutely no right to speak to me that way!",outputs/xtts/xtts_noun_t01_r01.wav
xtts_number_t01_r01,xtts,,number,t01,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You have absolutely no right to speak to me that way!",outputs/xtts/xtts_number_t01_r01.wav
xtts_noun_t01_r02,xtts,,noun,t01,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You have absolutely no right to speak to me that way!",outputs/xtts/xtts_noun_t01_r02.wav
xtts_number_t01_r02,xtts,,number,t01,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You have absolutely no right to speak to me that way!",outputs/xtts/xtts_number_t01_r02.wav
xtts_noun_t02_r01,xtts,,noun,t02,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I cannot believe you actually did that without telling me!",outputs/xtts/xtts_noun_t02_r01.wav
xtts_number_t02_r01,xtts,,number,t02,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I cannot believe you actually did that without telling me!",outputs/xtts/xtts_number_t02_r01.wav
xtts_noun_t02_r02,xtts,,noun,t02,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I cannot believe you actually did that without telling me!",outputs/xtts/xtts_noun_t02_r02.wav
xtts_number_t02_r02,xtts,,number,t02,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I cannot believe you actually did that without telling me!",outputs/xtts/xtts_number_t02_r02.wav
xtts_noun_t03_r01,xtts,,noun,t03,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Something is seriously wrong and I am genuinely terrified right now!",outputs/xtts/xtts_noun_t03_r01.wav
xtts_number_t03_r01,xtts,,number,t03,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Something is seriously wrong and I am genuinely terrified right now!",outputs/xtts/xtts_number_t03_r01.wav
xtts_noun_t03_r02,xtts,,noun,t03,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Something is seriously wrong and I am genuinely terrified right now!",outputs/xtts/xtts_noun_t03_r02.wav
xtts_number_t03_r02,xtts,,number,t03,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Something is seriously wrong and I am genuinely terrified right now!",outputs/xtts/xtts_number_t03_r02.wav
xtts_noun_t04_r01,xtts,,noun,t04,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I never thought you would actually leave and never look back!",outputs/xtts/xtts_noun_t04_r01.wav
xtts_number_t04_r01,xtts,,number,t04,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I never thought you would actually leave and never look back!",outputs/xtts/xtts_number_t04_r01.wav
xtts_noun_t04_r02,xtts,,noun,t04,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I never thought you would actually leave and never look back!",outputs/xtts/xtts_noun_t04_r02.wav
xtts_number_t04_r02,xtts,,number,t04,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I never thought you would actually leave and never look back!",outputs/xtts/xtts_number_t04_r02.wav
xtts_noun_t05_r01,xtts,,noun,t05,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. This is honestly the most wonderful thing that has ever happened!",outputs/xtts/xtts_noun_t05_r01.wav
xtts_number_t05_r01,xtts,,number,t05,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. This is honestly the most wonderful thing that has ever happened!",outputs/xtts/xtts_number_t05_r01.wav
xtts_noun_t05_r02,xtts,,noun,t05,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. This is honestly the most wonderful thing that has ever happened!",outputs/xtts/xtts_noun_t05_r02.wav
xtts_number_t05_r02,xtts,,number,t05,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. This is honestly the most wonderful thing that has ever happened!",outputs/xtts/xtts_number_t05_r02.wav
xtts_noun_t06_r01,xtts,,noun,t06,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You need to get out of this building right now immediately!",outputs/xtts/xtts_noun_t06_r01.wav
xtts_number_t06_r01,xtts,,number,t06,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You need to get out of this building right now immediately!",outputs/xtts/xtts_number_t06_r01.wav
xtts_noun_t06_r02,xtts,,noun,t06,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You need to get out of this building right now immediately!",outputs/xtts/xtts_noun_t06_r02.wav
xtts_number_t06_r02,xtts,,number,t06,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You need to get out of this building right now immediately!",outputs/xtts/xtts_number_t06_r02.wav
xtts_noun_t07_r01,xtts,,noun,t07,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I genuinely expected so much better from someone like you!",outputs/xtts/xtts_noun_t07_r01.wav
xtts_number_t07_r01,xtts,,number,t07,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I genuinely expected so much better from someone like you!",outputs/xtts/xtts_number_t07_r01.wav
xtts_noun_t07_r02,xtts,,noun,t07,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I genuinely expected so much better from someone like you!",outputs/xtts/xtts_noun_t07_r02.wav
xtts_number_t07_r02,xtts,,number,t07,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I genuinely expected so much better from someone like you!",outputs/xtts/xtts_number_t07_r02.wav
xtts_noun_t08_r01,xtts,,noun,t08,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Thank goodness you are finally safe and back here with me!",outputs/xtts/xtts_noun_t08_r01.wav
xtts_number_t08_r01,xtts,,number,t08,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Thank goodness you are finally safe and back here with me!",outputs/xtts/xtts_number_t08_r01.wav
xtts_noun_t08_r02,xtts,,noun,t08,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Thank goodness you are finally safe and back here with me!",outputs/xtts/xtts_noun_t08_r02.wav
xtts_number_t08_r02,xtts,,number,t08,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Thank goodness you are finally safe and back here with me!",outputs/xtts/xtts_number_t08_r02.wav
xtts_noun_t09_r01,xtts,,noun,t09,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. We have been over this exact same problem a hundred times already!",outputs/xtts/xtts_noun_t09_r01.wav
xtts_number_t09_r01,xtts,,number,t09,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. We have been over this exact same problem a hundred times already!",outputs/xtts/xtts_number_t09_r01.wav
xtts_noun_t09_r02,xtts,,noun,t09,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. We have been over this exact same problem a hundred times already!",outputs/xtts/xtts_noun_t09_r02.wav
xtts_number_t09_r02,xtts,,number,t09,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. We have been over this exact same problem a hundred times already!",outputs/xtts/xtts_number_t09_r02.wav
xtts_noun_t10_r01,xtts,,noun,t10,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I had absolutely no idea any of this was even happening!",outputs/xtts/xtts_noun_t10_r01.wav
xtts_number_t10_r01,xtts,,number,t10,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I had absolutely no idea any of this was even happening!",outputs/xtts/xtts_number_t10_r01.wav
xtts_noun_t10_r02,xtts,,noun,t10,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I had absolutely no idea any of this was even happening!",outputs/xtts/xtts_noun_t10_r02.wav
xtts_number_t10_r02,xtts,,number,t10,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I had absolutely no idea any of this was even happening!",outputs/xtts/xtts_number_t10_r02.wav
kokoro_noun_t01_r01,kokoro,,noun,t01,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_noun_t01_r01.wav
kokoro_number_t01_r01,kokoro,,number,t01,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_number_t01_r01.wav
kokoro_noun_t01_r02,kokoro,,noun,t01,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_noun_t01_r02.wav
kokoro_number_t01_r02,kokoro,,number,t01,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You have absolutely no right to speak to me that way!",outputs/kokoro/kokoro_number_t01_r02.wav
kokoro_noun_t02_r01,kokoro,,noun,t02,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_noun_t02_r01.wav
kokoro_number_t02_r01,kokoro,,number,t02,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_number_t02_r01.wav
kokoro_noun_t02_r02,kokoro,,noun,t02,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_noun_t02_r02.wav
kokoro_number_t02_r02,kokoro,,number,t02,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I cannot believe you actually did that without telling me!",outputs/kokoro/kokoro_number_t02_r02.wav
kokoro_noun_t03_r01,kokoro,,noun,t03,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_noun_t03_r01.wav
kokoro_number_t03_r01,kokoro,,number,t03,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_number_t03_r01.wav
kokoro_noun_t03_r02,kokoro,,noun,t03,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_noun_t03_r02.wav
kokoro_number_t03_r02,kokoro,,number,t03,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Something is seriously wrong and I am genuinely terrified right now!",outputs/kokoro/kokoro_number_t03_r02.wav
kokoro_noun_t04_r01,kokoro,,noun,t04,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_noun_t04_r01.wav
kokoro_number_t04_r01,kokoro,,number,t04,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_number_t04_r01.wav
kokoro_noun_t04_r02,kokoro,,noun,t04,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_noun_t04_r02.wav
kokoro_number_t04_r02,kokoro,,number,t04,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I never thought you would actually leave and never look back!",outputs/kokoro/kokoro_number_t04_r02.wav
kokoro_noun_t05_r01,kokoro,,noun,t05,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_noun_t05_r01.wav
kokoro_number_t05_r01,kokoro,,number,t05,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_number_t05_r01.wav
kokoro_noun_t05_r02,kokoro,,noun,t05,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_noun_t05_r02.wav
kokoro_number_t05_r02,kokoro,,number,t05,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. This is honestly the most wonderful thing that has ever happened!",outputs/kokoro/kokoro_number_t05_r02.wav
kokoro_noun_t06_r01,kokoro,,noun,t06,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_noun_t06_r01.wav
kokoro_number_t06_r01,kokoro,,number,t06,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_number_t06_r01.wav
kokoro_noun_t06_r02,kokoro,,noun,t06,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_noun_t06_r02.wav
kokoro_number_t06_r02,kokoro,,number,t06,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You need to get out of this building right now immediately!",outputs/kokoro/kokoro_number_t06_r02.wav
kokoro_noun_t07_r01,kokoro,,noun,t07,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_noun_t07_r01.wav
kokoro_number_t07_r01,kokoro,,number,t07,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_number_t07_r01.wav
kokoro_noun_t07_r02,kokoro,,noun,t07,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_noun_t07_r02.wav
kokoro_number_t07_r02,kokoro,,number,t07,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I genuinely expected so much better from someone like you!",outputs/kokoro/kokoro_number_t07_r02.wav
kokoro_noun_t08_r01,kokoro,,noun,t08,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_noun_t08_r01.wav
kokoro_number_t08_r01,kokoro,,number,t08,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_number_t08_r01.wav
