id,model,voice,condition,target_id,prime_id,repetition,seed,text,output_relpath
112:kokoro_noun_t08_r02,kokoro,,noun,t08,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_noun_t08_r02.wav
113:kokoro_number_t08_r02,kokoro,,number,t08,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Thank goodness you are finally safe and back here with me!",outputs/kokoro/kokoro_number_t08_r02.wav
114:kokoro_noun_t09_r01,kokoro,,noun,t09,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_noun_t09_r01.wav
115:kokoro_number_t09_r01,kokoro,,number,t09,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_number_t09_r01.wav
116:kokoro_noun_t09_r02,kokoro,,noun,t09,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_noun_t09_r02.wav
117:kokoro_number_t09_r02,kokoro,,number,t09,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. We have been over this exact same problem a hundred times already!",outputs/kokoro/kokoro_number_t09_r02.wav
118:kokoro_noun_t10_r01,kokoro,,noun,t10,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_noun_t10_r01.wav
119:kokoro_number_t10_r01,kokoro,,number,t10,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_number_t10_r01.wav
120:kokoro_noun_t10_r02,kokoro,,noun,t10,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_noun_t10_r02.wav
121:kokoro_number_t10_r02,kokoro,,number,t10,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I had absolutely no idea any of this was even happening!",outputs/kokoro/kokoro_number_t10_r02.wav
