model,id,category,subcategory,punct_type,duration_s,rms_mean,f0_mean,f0_range,f0_voiced_frames,terminal_f0_slope,terminal_voiced,amplitude_decay_300ms,best_pause_ms,num_pauses,pause_durations_ms,internal_pause_durations_ms
chatterbox,p06,pause_hierarchy,em_dash,em_dash,4.3,0.077512,181.7,97.8,267,-89.948,25,-0.0002825464,300.0,15,"[80.0, 60.0, 120.0, 70.0, 300.0, 30.0, 60.0, 70.0, 130.0, 50.0, 270.0, 80.0, 70.0, 130.0, 100.0]","[80.0, 60.0, 120.0, 70.0, 300.0, 30.0, 60.0, 70.0, 130.0, 50.0, 270.0, 80.0, 70.0, 130.0]"
chatterbox,p07,pause_hierarchy,ellipsis,ellipsis,5.1,0.078324,198.8,421.1,295,-46.487,28,-1.28947e-05,390.0,16,"[240.0, 60.0, 120.0, 60.0, 30.0, 380.0, 60.0, 50.0, 70.0, 130.0, 50.0, 320.0, 80.0, 140.0, 120.0, 390.0]","[240.0, 60.0, 120.0, 60.0, 30.0, 380.0, 60.0, 50.0, 70.0, 130.0, 50.0, 320.0, 80.0, 140.0, 120.0]"
chatterbox,p08,pause_hierarchy,semicolon,semicolon,4.5,0.082133,181.4,187.8,289,-46.812,27,-0.0001564944,350.0,15,"[250.0, 70.0, 100.0, 50.0, 350.0, 50.0, 50.0, 60.0, 110.0, 320.0, 40.0, 50.0, 50.0, 150.0, 150.0]","[250.0, 70.0, 100.0, 50.0, 350.0, 50.0, 50.0, 60.0, 110.0, 320.0, 40.0, 50.0, 50.0, 150.0]"
chatterbox,q01,quotation,quoted,quoted,1.58,0.052567,179.2,53.8,89,-20.684,33,-0.00015042,160.0,6,"[110.0, 80.0, 40.0, 120.0, 160.0, 160.0]","[110.0, 80.0, 40.0, 120.0, 160.0]"
chatterbox,q02,quotation,reported,reported,1.74,0.058253,163.1,549.3,117,-43.991,38,-2.80727e-05,300.0,3,"[300.0, 150.0, 260.0]","[300.0, 150.0]"
chatterbox,q03,quotation,quoted,quoted,2.26,0.053493,120.6,173.2,155,-517.868,22,-2.62349e-05,320.0,7,"[320.0, 70.0, 50.0, 190.0, 90.0, 30.0, 260.0]","[320.0, 70.0, 50.0, 190.0, 90.0, 30.0]"
chatterbox,q04,quotation,reported,reported,2.26,0.055436,142.9,175.8,153,42.776,26,-8.8702e-06,360.0,8,"[300.0, 50.0, 50.0, 140.0, 30.0, 60.0, 40.0, 360.0]","[300.0, 50.0, 50.0, 140.0, 30.0, 60.0, 40.0]"
chatterbox,t01,trailing,ellipsis,ellipsis,1.42,0.0467,155.5,152.3,108,-130.492,38,-2.11535e-05,250.0,2,"[80.0, 250.0]",[80.0]
chatterbox,t02,trailing,period,period,1.46,0.068004,187.4,72.7,93,-222.921,38,-0.0001271773,220.0,4,"[220.0, 50.0, 40.0, 180.0]","[220.0, 50.0, 40.0]"
chatterbox,t03,trailing,ellipsis,ellipsis,1.3,0.061576,200.9,444.2,85,-118.693,38,-7.58573e-05,220.0,3,"[180.0, 40.0, 220.0]","[180.0, 40.0]"
chatterbox,t04,trailing,period,period,1.26,0.057435,192.3,244.0,88,-74.687,38,-6.95303e-05,220.0,3,"[110.0, 40.0, 220.0]","[110.0, 40.0]"
chatterbox,c01,capitalization,all_caps,all_caps,2.02,0.053125,166.7,179.7,90,,0,-1.9889e-05,240.0,7,"[80.0, 80.0, 80.0, 240.0, 50.0, 170.0, 80.0]","[80.0, 80.0, 80.0, 240.0, 50.0, 170.0]"
chatterbox,c02,capitalization,title_case,title_case,0.7,0.03478,131.2,195.5,37,-305.158,19,-2.05857e-05,230.0,3,"[140.0, 80.0, 230.0]","[140.0, 80.0]"
chatterbox,c03,capitalization,lowercase,lowercase,0.9,0.055882,51.9,11.9,38,-302.207,19,-1.7189e-06,320.0,4,"[210.0, 60.0, 60.0, 320.0]","[210.0, 60.0, 60.0]"
kokoro,s01,sentence_end,statement,period,1.9,0.046159,224.3,111.0,76,-92.151,26,-2.32e-08,510.0,2,"[350.0, 510.0]",[350.0]
kokoro,s02,sentence_end,exclamation,exclamation,1.875,0.046169,225.6,123.0,72,-310.463,19,-3.18e-08,500.0,2,"[340.0, 500.0]",[340.0]
kokoro,s03,sentence_end,question,question,1.85,0.046774,223.4,117.6,77,-18.825,30,-3.17e-08,490.0,2,"[350.0, 490.0]",[350.0]
kokoro,s04,sentence_end,statement,period,1.8,0.047541,241.8,105.3,52,,0,-4.68e-08,460.0,3,"[290.0, 40.0, 460.0]","[290.0, 40.0]"
kokoro,s05,sentence_end,exclamation,exclamation,1.8,0.047474,243.0,130.5,53,,0,-5.08e-08,460.0,3,"[290.0, 40.0, 460.0]","[290.0, 40.0]"
kokoro,s06,sentence_end,question,question,1.8,0.047592,243.7,117.0,52,,0,-4.65e-08,460.0,3,"[290.0, 40.0, 460.0]","[290.0, 40.0]"
kokoro,s07,sentence_end,statement,period,1.525,0.048038,208.4,184.7,51,-411.553,27,-2.382e-07,500.0,2,"[360.0, 500.0]",[360.0]
kokoro,s08,sentence_end,exclamation,exclamation,1.5,0.047974,203.2,174.3,48,-666.527,28,-2.608e-07,490.0,2,"[360.0, 490.0]",[360.0]
kokoro,s09,sentence_end,question,question,1.525,0.048286,207.4,196.5,49,-433.51,27,-2.312e-07,500.0,2,"[360.0, 500.0]",[360.0]
kokoro,p01,pause_hierarchy,comma,comma,3.625,0.049246,206.6,143.5,184,94.872,23,-2.08e-08,500.0,6,"[320.0, 140.0, 30.0, 230.0, 30.0, 500.0]","[320.0, 140.0, 30.0, 230.0, 30.0]"
kokoro,p02,pause_hierarchy,em_dash,em_dash,3.5,0.050167,208.1,148.0,184,-212.243,18,-2.04e-08,490.0,7,"[310.0, 30.0, 40.0, 290.0, 40.0, 30.0, 490.0]","[310.0, 30.0, 40.0, 290.0, 40.0, 30.0]"
kokoro,p03,pause_hierarchy,ellipsis,ellipsis,3.75,0.051247,210.6,157.7,173,,0,-2.07e-08,460.0,6,"[300.0, 220.0, 30.0, 350.0, 30.0, 460.0]","[300.0, 220.0, 30.0, 350.0, 30.0]"
kokoro,p04,pause_hierarchy,semicolon,semicolon,3.65,0.050568,209.5,153.3,178,-15.308,23,-2.01e-08,490.0,6,"[310.0, 110.0, 30.0, 310.0, 40.0, 490.0]","[310.0, 110.0, 30.0, 310.0, 40.0]"
kokoro,p05,pause_hierarchy,comma,comma,4.125,0.048111,213.2,242.2,222,312.626,15,-2.97e-08,500.0,8,"[300.0, 210.0, 40.0, 190.0, 30.0, 30.0, 80.0, 500.0]","[300.0, 210.0, 40.0, 190.0, 30.0, 30.0, 80.0]"
kokoro,p06,pause_hierarchy,em_dash,em_dash,4.25,0.048505,208.3,132.1,216,88.446,25,-3.01e-08,490.0,8,"[300.0, 110.0, 40.0, 310.0, 30.0, 40.0, 80.0, 490.0]","[300.0, 110.0, 40.0, 310.0, 30.0, 40.0, 80.0]"
kokoro,p07,pause_hierarchy,ellipsis,ellipsis,4.425,0.049519,207.3,140.4,225,-194.427,16,-3.1e-08,470.0,8,"[300.0, 270.0, 40.0, 30.0, 320.0, 30.0, 80.0, 470.0]","[300.0, 270.0, 40.0, 30.0, 320.0, 30.0, 80.0]"
kokoro,p08,pause_hierarchy,semicolon,semicolon,4.175,0.048753,211.7,248.4,225,-252.848,17,-2.97e-08,480.0,7,"[300.0, 220.0, 40.0, 230.0, 30.0, 80.0, 480.0]","[300.0, 220.0, 40.0, 230.0, 30.0, 80.0]"
kokoro,q01,quotation,quoted,quoted,1.875,0.047584,219.6,137.5,81,,0,-1.52e-08,460.0,3,"[280.0, 30.0, 460.0]","[280.0, 30.0]"
kokoro,q02,quotation,reported,reported,1.8,0.04809,229.9,139.3,61,108.616,22,-2.68e-08,450.0,3,"[280.0, 50.0, 450.0]","[280.0, 50.0]"
kokoro,q03,quotation,quoted,quoted,2.45,0.047178,222.1,153.2,97,-386.267,19,-3.52e-08,470.0,6,"[300.0, 30.0, 30.0, 220.0, 50.0, 470.0]","[300.0, 30.0, 30.0, 220.0, 50.0]"
kokoro,q04,quotation,reported,reported,2.225,0.045997,223.3,158.7,93,,0,-4.99e-08,470.0,5,"[290.0, 30.0, 30.0, 40.0, 470.0]","[290.0, 30.0, 30.0, 40.0]"
kokoro,t01,trailing,ellipsis,ellipsis,1.75,0.045874,217.3,119.0,75,70.696,33,-6.94e-08,470.0,3,"[360.0, 40.0, 470.0]","[360.0, 40.0]"
kokoro,t02,trailing,period,period,1.725,0.045779,215.0,108.8,75,41.919,34,-1.601e-07,500.0,2,"[370.0, 500.0]",[370.0]
kokoro,t03,trailing,ellipsis,ellipsis,1.75,0.047185,229.2,90.7,59,55.434,27,-2.85e-08,530.0,2,"[360.0, 530.0]",[360.0]
kokoro,t04,trailing,period,period,1.65,0.047638,222.8,107.9,63,-37.098,28,-2.045e-07,510.0,2,"[380.0, 510.0]",[380.0]
kokoro,c01,capitalization,all_caps,all_caps,1.325,0.04335,,,0,-317.282,28,-2.473e-07,470.0,3,"[370.0, 50.0, 470.0]","[370.0, 50.0]"
kokoro,c02,capitalization,title_case,title_case,1.325,0.043271,,,0,-332.414,28,-2.432e-07,470.0,3,"[370.0, 50.0, 470.0]","[370.0, 50.0]"
kokoro,c03,capitalization,lowercase,lowercase,1.325,0.043285,,,0,-317.228,28,-2.472e-07,470.0,3,"[370.0, 50.0, 470.0]","[370.0, 50.0]"
xtts,s01,sentence_end,statement,period,1.483,0.163477,189.1,48.8,86,-66.441,38,0.0,600.0,1,[600.0],[]
xtts,s02,sentence_end,exclamation,exclamation,1.569,0.157235,199.1,57.5,95,-164.748,38,0.0,580.0,1,[580.0],[]
xtts,s03,sentence_end,question,question,1.622,0.169986,199.1,52.5,102,-105.365,38,0.0,570.0,1,[570.0],[]
xtts,s04,sentence_end,statement,period,1.761,0.13692,196.0,70.9,85,-115.636,25,0.0,560.0,2,"[30.0, 560.0]",[30.0]
xtts,s05,sentence_end,exclamation,exclamation,1.622,0.15487,217.8,101.9,79,-189.869,31,0.0,590.0,2,"[40.0, 590.0]",[40.0]
xtts,s06,sentence_end,question,question,1.622,0.13549,207.5,55.1,83,-66.292,33,0.0,600.0,2,"[40.0, 600.0]",[40.0]
xtts,s07,sentence_end,statement,period,1.345,0.130962,189.1,46.7,58,-66.809,38,0.0,590.0,2,"[40.0, 590.0]",[40.0]
xtts,s08,sentence_end,exclamation,exclamation,1.206,0.135502,206.8,74.5,51,-122.013,31,0.0,580.0,2,"[140.0, 580.0]",[140.0]
xtts,s09,sentence_end,question,question,1.291,0.16583,216.8,62.8,58,-92.28,38,0.0,580.0,2,"[80.0, 580.0]",[80.0]
xtts,p01,pause_hierarchy,comma,comma,4.171,0.146681,200.0,104.6,222,-241.206,34,0.0,550.0,5,"[370.0, 90.0, 30.0, 450.0, 550.0]","[370.0, 90.0, 30.0, 450.0]"
xtts,p02,pause_hierarchy,em_dash,em_dash,4.225,0.144044,203.4,94.6,216,-58.828,32,0.0,690.0,7,"[30.0, 40.0, 490.0, 50.0, 690.0, 40.0, 570.0]","[30.0, 40.0, 490.0, 50.0, 690.0, 40.0]"
xtts,p03,pause_hierarchy,ellipsis,ellipsis,5.515,0.132072,140.5,183.8,342,-64.519,31,0.0,1440.0,12,"[30.0, 30.0, 30.0, 40.0, 80.0, 130.0, 460.0, 110.0, 40.0, 1440.0, 70.0, 560.0]","[30.0, 30.0, 30.0, 40.0, 80.0, 130.0, 460.0, 110.0, 40.0, 1440.0, 70.0]"
xtts,p04,pause_hierarchy,semicolon,semicolon,4.033,0.148662,196.0,81.9,211,-95.506,31,0.0,580.0,5,"[450.0, 60.0, 430.0, 40.0, 580.0]","[450.0, 60.0, 430.0, 40.0]"
xtts,p05,pause_hierarchy,comma,comma,4.406,0.139702,196.7,70.9,237,-129.057,19,0.0,590.0,10,"[340.0, 60.0, 40.0, 80.0, 30.0, 210.0, 50.0, 40.0, 110.0, 590.0]","[340.0, 60.0, 40.0, 80.0, 30.0, 210.0, 50.0, 40.0, 110.0]"
xtts,p06,pause_hierarchy,em_dash,em_dash,5.099,0.133371,158.8,186.5,314,-46.288,23,0.0,770.0,9,"[30.0, 600.0, 50.0, 60.0, 770.0, 50.0, 60.0, 120.0, 560.0]","[30.0, 600.0, 50.0, 60.0, 770.0, 50.0, 60.0, 120.0]"
xtts,p07,pause_hierarchy,ellipsis,ellipsis,6.166,0.128526,150.4,200.5,367,-118.312,28,0.0,1150.0,11,"[30.0, 1090.0, 50.0, 30.0, 70.0, 110.0, 1150.0, 60.0, 40.0, 110.0, 570.0]","[30.0, 1090.0, 50.0, 30.0, 70.0, 110.0, 1150.0, 60.0, 40.0, 110.0]"
xtts,p08,pause_hierarchy,semicolon,semicolon,5.153,0.145455,173.8,177.1,312,-103.126,24,0.0,660.0,10,"[520.0, 40.0, 30.0, 60.0, 50.0, 660.0, 40.0, 40.0, 110.0, 590.0]","[520.0, 40.0, 30.0, 60.0, 50.0, 660.0, 40.0, 40.0, 110.0]"
xtts,q01,quotation,quoted,quoted,2.038,0.131656,190.7,66.5,86,-58.014,30,0.0,560.0,5,"[80.0, 50.0, 30.0, 110.0, 560.0]","[80.0, 50.0, 30.0, 110.0]"
xtts,q02,quotation,reported,reported,1.707,0.141407,192.3,68.1,86,-59.339,30,0.0,570.0,2,"[110.0, 570.0]",[110.0]
xtts,q03,quotation,quoted,quoted,2.411,0.157165,191.6,56.6,116,18.349,24,0.0,610.0,4,"[30.0, 130.0, 30.0, 610.0]","[30.0, 130.0, 30.0]"
xtts,q04,quotation,reported,reported,2.273,0.166287,186.3,62.8,104,-37.502,25,0.0,610.0,2,"[60.0, 610.0]",[60.0]
xtts,t01,trailing,ellipsis,ellipsis,1.526,0.162141,195.1,77.2,79,-60.183,38,0.0,590.0,2,"[50.0, 590.0]",[50.0]
xtts,t02,trailing,period,period,1.345,0.141055,193.9,60.3,69,-44.323,38,0.0,570.0,2,"[30.0, 570.0]",[30.0]
xtts,t03,trailing,ellipsis,ellipsis,1.43,0.165206,196.6,39.2,79,-61.675,38,0.0,590.0,1,[590.0],[]
xtts,t04,trailing,period,period,1.665,0.136627,161.6,161.9,97,-43.273,38,0.0,810.0,1,[810.0],[]
xtts,c01,capitalization,all_caps,all_caps,1.11,0.107266,50.0,0.0,15,-0.0,9,0.0,590.0,2,"[80.0, 590.0]",[80.0]
xtts,c02,capitalization,title_case,title_case,1.153,0.105632,599.3,0.0,8,2439.796,22,0.0,570.0,3,"[40.0, 60.0, 570.0]","[40.0, 60.0]"
xtts,c03,capitalization,lowercase,lowercase,1.014,0.120055,232.9,36.0,17,-190.859,18,0.0,560.0,3,"[30.0, 80.0, 560.0]","[30.0, 80.0]"
f5tts,s01,sentence_end,statement,period,1.353,0.118681,189.5,39.8,118,-38.961,38,-0.0002451078,240.0,1,[240.0],[240.0]
f5tts,s02,sentence_end,exclamation,exclamation,1.353,0.284203,256.9,132.8,126,-287.56,34,-0.0012907433,0.0,0,[],[]
f5tts,s03,sentence_end,question,question,1.353,0.077515,176.1,43.3,108,-48.702,38,-0.0001494967,30.0,2,"[30.0, 30.0]","[30.0, 30.0]"
f5tts,s04,sentence_end,statement,period,1.711,0.083973,192.6,99.8,90,-170.647,31,-0.000496865,460.0,2,"[460.0, 80.0]","[460.0, 80.0]"
f5tts,s05,sentence_end,exclamation,exclamation,1.711,0.121185,219.3,138.3,110,-230.422,35,-0.0008248273,260.0,3,"[260.0, 30.0, 60.0]","[260.0, 30.0, 60.0]"
f5tts,s06,sentence_end,question,question,1.711,0.076201,157.9,165.5,128,-84.263,34,-0.0002335237,350.0,3,"[350.0, 90.0, 30.0]","[350.0, 90.0]"
f5tts,s07,sentence_end,statement,period,0.853,0.086191,181.4,40.3,71,-55.417,38,-0.0002452937,100.0,3,"[30.0, 100.0, 60.0]","[30.0, 100.0]"
f5tts,s08,sentence_end,exclamation,exclamation,0.853,0.229792,443.6,367.6,76,-980.131,38,-0.0009433031,110.0,1,[110.0],[110.0]
f5tts,s09,sentence_end,question,question,0.853,0.066656,179.6,47.4,69,-31.751,38,-0.0001643865,0.0,0,[],[]
f5tts,p01,pause_hierarchy,comma,comma,5.847,0.069473,157.8,166.8,379,-79.715,38,-0.0002175948,730.0,17,"[130.0, 170.0, 40.0, 30.0, 30.0, 50.0, 120.0, 30.0, 50.0, 40.0, 40.0, 420.0, 80.0, 730.0, 50.0, 50.0, 50.0]","[130.0, 170.0, 40.0, 30.0, 30.0, 50.0, 120.0, 30.0, 50.0, 40.0, 40.0, 420.0, 80.0, 730.0, 50.0, 50.0, 50.0]"
f5tts,p02,pause_hierarchy,em_dash,em_dash,6.924,0.073983,136.5,193.4,367,-137.646,26,1.68015e-05,2000.0,9,"[1070.0, 100.0, 30.0, 2000.0, 90.0, 1230.0, 30.0, 30.0, 50.0]","[1070.0, 100.0, 30.0, 2000.0, 90.0, 1230.0, 30.0]"
f5tts,p03,pause_hierarchy,ellipsis,ellipsis,6.561,0.08275,239.1,438.7,363,-70.231,32,-0.0001530867,1720.0,12,"[890.0, 30.0, 30.0, 1720.0, 30.0, 40.0, 30.0, 150.0, 40.0, 100.0, 30.0, 40.0]","[890.0, 30.0, 30.0, 1720.0, 30.0, 40.0, 30.0, 150.0, 40.0, 100.0, 30.0, 40.0]"
f5tts,p04,pause_hierarchy,semicolon,semicolon,5.847,0.102939,157.8,192.0,364,-119.964,31,-0.0003727194,1490.0,7,"[1490.0, 50.0, 340.0, 140.0, 680.0, 80.0, 70.0]","[1490.0, 50.0, 340.0, 140.0, 680.0, 80.0, 70.0]"
f5tts,p05,pause_hierarchy,comma,comma,6.561,0.096262,188.0,101.6,367,-81.625,33,-8.53151e-05,850.0,16,"[850.0, 90.0, 70.0, 660.0, 70.0, 90.0, 130.0, 130.0, 70.0, 250.0, 70.0, 60.0, 40.0, 120.0, 70.0, 30.0]","[850.0, 90.0, 70.0, 660.0, 70.0, 90.0, 130.0, 130.0, 70.0, 250.0, 70.0, 60.0, 40.0, 120.0, 70.0]"
f5tts,p06,pause_hierarchy,em_dash,em_dash,7.639,0.088752,184.5,92.3,357,-28.211,32,-0.0002510914,1360.0,15,"[80.0, 30.0, 1360.0, 80.0, 50.0, 130.0, 110.0, 60.0, 50.0, 530.0, 1050.0, 60.0, 30.0, 120.0, 130.0]","[80.0, 30.0, 1360.0, 80.0, 50.0, 130.0, 110.0, 60.0, 50.0, 530.0, 1050.0, 60.0, 30.0, 120.0]"
f5tts,p07,pause_hierarchy,ellipsis,ellipsis,7.276,0.106705,143.5,196.2,494,-152.21,31,-0.0004962352,1500.0,14,"[1190.0, 50.0, 1500.0, 80.0, 60.0, 190.0, 170.0, 30.0, 40.0, 610.0, 60.0, 60.0, 60.0, 120.0]","[1190.0, 50.0, 1500.0, 80.0, 60.0, 190.0, 170.0, 30.0, 40.0, 610.0, 60.0, 60.0, 60.0]"
f5tts,p08,pause_hierarchy,semicolon,semicolon,6.561,0.088427,155.5,202.0,470,-83.863,33,-0.0003144429,1290.0,10,"[30.0, 50.0, 1290.0, 50.0, 130.0, 980.0, 70.0, 70.0, 30.0, 140.0]","[30.0, 50.0, 1290.0, 50.0, 130.0, 980.0, 70.0, 70.0, 30.0, 140.0]"
f5tts,q01,quotation,quoted,quoted,1.638,0.047506,170.9,78.1,62,-107.685,31,-0.0001534104,950.0,3,"[950.0, 70.0, 40.0]","[950.0, 70.0]"
f5tts,q02,quotation,reported,reported,1.498,0.082124,228.7,442.4,99,-82.628,36,-9.33121e-05,360.0,4,"[360.0, 30.0, 30.0, 80.0]","[360.0, 30.0, 30.0, 80.0]"
f5tts,q03,quotation,quoted,quoted,2.569,0.094447,184.8,173.1,165,-130.715,29,-0.0002180201,440.0,6,"[440.0, 40.0, 60.0, 400.0, 80.0, 50.0]","[440.0, 40.0, 60.0, 400.0, 80.0]"
f5tts,q04,quotation,reported,reported,2.424,0.081707,173.3,174.7,188,-72.522,33,-9.90349e-05,740.0,7,"[740.0, 40.0, 60.0, 40.0, 70.0, 30.0, 60.0]","[740.0, 40.0, 60.0, 40.0, 70.0]"
f5tts,t01,trailing,ellipsis,ellipsis,1.498,0.108199,196.7,71.0,95,-81.583,38,-0.0003507204,430.0,5,"[430.0, 80.0, 30.0, 30.0, 60.0]","[430.0, 80.0, 30.0, 30.0]"
f5tts,t02,trailing,period,period,1.353,0.095115,178.5,55.3,98,-86.378,38,-0.0002360808,340.0,4,"[340.0, 70.0, 40.0, 40.0]","[340.0, 70.0, 40.0]"
f5tts,t03,trailing,ellipsis,ellipsis,1.208,0.097698,192.1,70.5,81,-103.412,38,-0.0003845596,90.0,3,"[40.0, 40.0, 90.0]","[40.0, 40.0]"
f5tts,t04,trailing,period,period,1.067,0.141362,188.9,68.0,93,-88.63,38,-0.0002539282,70.0,2,"[30.0, 70.0]",[30.0]
f5tts,c01,capitalization,all_caps,all_caps,1.186,0.247688,387.0,267.0,76,-307.889,26,-0.0009805999,70.0,5,"[40.0, 60.0, 70.0, 50.0, 30.0]","[40.0, 60.0, 70.0, 50.0]"
f5tts,c02,capitalization,title_case,title_case,1.186,0.14314,293.8,332.7,45,-77.032,17,1.5317e-05,300.0,5,"[60.0, 40.0, 40.0, 60.0, 300.0]","[60.0, 40.0, 40.0, 60.0]"
f5tts,c03,capitalization,lowercase,lowercase,1.186,0.233717,310.0,115.1,100,-120.647,33,-0.0010634379,60.0,1,[60.0],[]
